title,month(cout),day(cout),hour(cout),minute(cout),deweyClass,"TIMESTAMPDIFF(DAY,cout,cin)"
"German for babies toddlers and preschoolers Disc 1 Eating and drinking",1,6,16,54,438.3421,10
"German for babies toddlers and preschoolers Disc 3 Playtime",1,6,16,54,438.3421,10
"Teaching signs for baby minds 3 Dictionary alphabet",1,14,17,51,419.7,2
"Preschool fun Letters numbers",1,14,17,51,201,2
"Teaching signs for baby minds 1 Everyday signs",1,14,17,51,419.7,2
"German for babies toddlers and preschoolers Disc 4 In my home",1,6,16,54,438.3421,10
"Body mechanics superheroes of the human body",1,2,14,24,612,15
"Animal atlas Animal 123s",1,7,14,19,513.5,10
"magic school bus Super sports fun",1,11,16,11,530,5
"magic school bus catches a wave",1,11,16,11,553.7,5
Canada,1,15,17,6,971,1
"Rock n learn Getting ready for kindergarten",1,3,14,3,372.218,14
"magic school bus catches a wave",1,3,11,42,553.7,14
"English ESL 2 Wake up smiling",1,10,12,4,428.3461,7
"Sid the science kid Gizmos and gadgets",1,7,13,16,621.8,10
"Chalo Hindi bolay",1,10,12,4,491.43834,7
"Lots lots of playful penguins and their toe tappin feet",1,14,16,39,598.47,2
"way things work Electricity",1,14,16,39,537,2
"All about electricity",1,14,16,39,523.01,2
Fish,1,12,12,43,597,5
Insect,1,12,12,43,595.7,5
"Wiggles The Wiggles go bananas",1,5,12,8,782.42083,12
"Ethiopia for kids",1,5,12,44,963,12
"way things work Telecommunications",1,5,12,44,621.382,12
"Rock n learn Earth science",1,5,12,44,550,12
"Decimals percents",1,5,12,44,513.265,12
"Swan lake",1,2,16,42,792.842,14
"way things work Belts gears",1,5,12,44,621.833,12
"way things work Photography",1,5,12,44,621.367,12
"All your childs favorites",1,3,12,34,649.68,14
"Create faces face painting Halloween horror",1,2,16,42,745.5,14
"Critter quest bug out on a backyard safari",1,12,15,11,595.7,5
"Why Guy questions a firefighter",1,3,14,32,628.925,14
"How things work",1,12,15,11,621.8,5
"Growing up wild Bouncing babies",1,9,13,1,599.139,8
Mammals,1,9,13,1,599,8
"Fun on the farm introducing Doodle the Rooster and his animated friends",1,5,12,15,630.68,12
"Learning chess the easy way chess for absolute beginners",1,5,12,15,794.1,12
"Dropping in on Picasso",1,5,12,15,759.4,12
"Lets dance and tumble",1,5,12,15,791.64,12
Flight,1,12,15,20,629.1301,5
"magic school bus Space adventures",1,5,10,27,523,12
Spacetrekkers,1,5,10,27,520,12
"Signing time Practice time ABCs Level 1",1,3,17,8,419.7,14
"All about trucks",1,4,11,51,629.224,13
"Rock n learn Spanish Volumes I II",1,3,13,47,468.3421,14
"Shakespeare the animated tales Volume 4",1,3,19,16,822.33,13
Fish,1,3,19,15,597,13
Bird,1,3,19,15,598,13
Seashore,1,15,18,32,578.7699,2
"John Deere action 3",1,12,11,17,629.2252,5
"Baby boost Nursery rhymes",1,2,11,28,782.42083,15
"Schoolhouse rock America",1,2,11,28,973,15
"Predator and prey",1,12,14,2,591.53,5
"Hot potatoes the best of the Wiggles",1,16,10,21,782.42083,2
"Wiggles Racing to the rainbow",1,16,10,21,782.42083,2
"Signing time Series 2 volume 12 Box of crayons",1,15,10,50,419.7,3
"Signing time Series 2 volume 1 Nice to meet you",1,15,10,50,419.7,3
"Signing time Series 2 volume 13 Who has the frog",1,15,10,50,419.7,3
"Signing time Series 2 volume 11 Once upon a time",1,15,10,50,419.7,3
"Everybody dance",1,13,14,8,793.3083,4
"Lets hear it for the Laurie Berkner Band",1,10,13,3,782.42083,8
"VeggieTales Very silly songs VeggieTales very first sing along video",1,3,16,9,782.42083,14
"Sing along songs Happy haunting",1,3,16,9,782.42083,14
"Mister Maker Lets make it",1,3,16,9,745.5,14
"All about big machines",1,9,19,13,629,8
"Living sunlight how plants bring the Earth to life",1,4,14,21,572.46,13
"Teletubbies Go exercise with the Teletubbies",1,4,14,21,613.7042,13
"Fun in motion dance laugh learn about trucks cars trains planes boats",1,4,14,21,629.22,13
"Crossing the snow a tale from Japan",1,10,13,51,398.20952,7
"Who lives in Puget Sound",1,4,14,21,591.7699,13
"Popular mechanics for kids Lightning and other forces of nature",1,15,19,51,551.5632,2
"Shalom Sesame Volume 3 Shabbat shalom Grover",1,5,11,26,296.43,13
"Funtastic animals dance laugh learn about farm animals wild animals and pets",1,4,14,21,590,13
"science of Disney imagineering Newtons 3 laws of motion",1,8,15,17,531,9
"Fairy dancing",1,16,15,8,791.4372,1
"Lets learn how to use pastels and charcoal",1,11,13,46,741.235,7
"Sid the science kid Sid in motion",1,5,12,18,500,13
"Sid the science kid The bug club",1,5,12,18,507,13
"smart fitness workout brain based physical fitness routines",1,14,17,51,613.7042,3
Fire,1,18,13,21,353.979,0
"Meet the letters",1,4,17,54,428.13,13
"Classical baby Im grown up now The poetry show",1,13,14,22,808.81008,5
"Sid the science kid Going going green",1,13,14,20,791.4575,5
"Shalom sesame Volume 12 Adventures in Israel",1,13,14,20,956.94,5
"American Sign Language for kids Beginner level 1 volume 2",1,13,14,20,419.7,5
"Brainy baby Art exploring the world of art",1,13,14,20,700.83,5
"Families of Sweden",1,12,16,5,948.5,5
"Shanti Generation yoga skills for youth peacemakers",1,2,15,0,613.7046,16
"Baby ballet",1,17,14,33,792.8,1
"Shalom Sesame Volume 4 Grover plants a tree",1,11,14,51,296.43,7
"Sid the science kid Sid in motion",1,7,17,7,500,10
"magic school bus Bugs bugs bugs",1,2,14,59,595.7,16
"Dropping in on Grant Wood",1,9,11,43,759.13,9
"Fairy dancing",1,17,14,33,791.4372,1
"Abraham Lincoln sixteenth president",1,10,18,1,973.7092,7
"French 2 Wake up smiling",1,15,15,40,448.3421,3
Cat,1,3,16,56,599.75,14
Mammal,1,13,14,35,599,5
Shark,1,13,14,35,597.34,5
"Sid the science kid Sids backyard campout",1,4,16,25,796.54,14
"French 3 Playtime",1,15,15,40,448.3421,3
Flight,1,18,15,21,629.1301,0
"Sid the science kid Going going green",1,17,19,26,791.4575,0
"Animal atlas Superhero animals",1,10,17,1,590,7
"Animal atlas Animal passport",1,10,17,1,590.96,7
"First fun with French",1,2,16,2,448.3421,16
"March on the day my brother Martin changed the world and more stories about African American history",1,7,16,16,973.0496,11
"Martins big words the life of Dr Martin Luther King Jr and more stories from the African American tradition",1,7,16,16,323.092,11
"Lets dance and tumble",1,11,15,55,791.64,7
"Critter quest bug out on a backyard safari",1,9,11,53,595.7,9
Shark,1,4,15,31,597.34,14
"Eyewitness Planets",1,4,15,31,523.4,14
"Activity TV Halloween Vol 4",1,7,16,16,745.59416,11
"Creepy creatures",1,2,14,13,590,16
Bird,1,3,17,14,598,15
Fish,1,3,17,14,597,15
"Our feathered friends adventures on a chicken farm",1,15,16,58,636.5,3
"Lots lots of trains Vol 3 Roaring down the rails",1,15,16,58,625.2,3
"Garbage monsters",1,15,16,58,628.445,3
"Money making change",1,2,19,3,332.4,16
"Sid the science kid Gizmos and gadgets",1,13,13,39,621.8,5
